"A0002500","R0000100","R0000700","R0001010","R0001100","R0001200","R0001610","R0001800","R0010300","R0023500","R0029100","R0153800","R0153900","R0154000","R0154100","R0154300","R0154400","R0154500","R0170100","R0171800","R0214700","R0214800","R0217501","R0217502","R0217910","R0306700","R0307000","R0307100","R1021700","R1395100","R1395400","R3279401","R3400800","R3401501","R3403500","R3407700","R3407800","R6430800","R6430900","R6591300","R6592900","R6738700","R6749800","R6839600","R6909701","R7006400","R7006500","R7006600","R7006900","R7007000","R9909700","T3206901","T3308200","T3308700","T3495400","T3506500","T3976400","T3977400","T3977500","T3977600","T3987600","T3987800","T4112200","T4112700","T4113000","T4114600","T4114900"
445,1,1,0,1,4,0,1,7,12,0,2,2,1,1,2,1,4,-4,0,3,2,0,5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,2,2,-4,1,4,-4,1,7,12,0,4,3,2,2,4,3,4,-4,1,3,2,0,5,0,0,-4,0,-4,0,-4,20000,0,12,2,0,-4,0,-4,-4,-4,-4,40,2,0,5,45000,0,2,1,11,-4,8680,4720,7010,-4,-4,19000,-4,-4,0,-4,3,1,12,1,3
445,3,1,0,0,-4,0,1,7,14,0,2,4,3,3,3,3,3,-4,0,3,2,0,5,0,0,-4,0,0,4,13,6000,0,10,9,3,4,2,18,339,19,280,40,3,0,3,64000,0,2,1,8,-4,8990,4320,5230,52,5,35000,-4,-4,55000,-4,2,4,12,1,17
445,4,1,0,0,-4,-3,1,7,12,-4,1,2,3,4,2,4,2,-4,0,3,2,0,5,0,-5,-5,-5,11,5,-2,0,1,14,7,1,10,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,5,1,0,0,-4,0,1,7,18,0,2,2,2,1,3,3,2,31,1,3,1,0,4,0,0,-4,0,17,-1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,48,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,6,1,0,0,-4,0,1,7,18,0,1,1,3,1,1,4,1,44,1,3,1,0,4,0,0,-4,0,16,4,16,23000,0,16,10,0,-4,-5,-5,858,19,-4,45,-4,40000,5,82000,0,2,1,23,-4,7870,2710,2200,39,1,105000,-4,-4,52000,-4,5,2,16,1,12
445,7,1,0,0,-4,0,1,7,17,-4,1,2,4,2,2,4,1,1,1,3,1,0,3,0,0,-4,0,16,1,-4,0,0,12,7,1,-3,1,19,318,749,-4,40,-4,25000,3,25400,0,3,3,-999,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,8,1,0,1,4,0,1,9,14,0,2,2,3,2,4,2,2,280,0,3,2,1,3,0,0,-4,0,18,1,-4,17000,0,12,8,3,7,0,-4,707,234,-4,-4,3,27400,5,-2,-3,3,3,4,-4,6870,830,2340,33,2,40000,-4,-4,1200,-4,3,1,14,1,13
445,9,1,0,0,-4,0,1,7,13,-4,1,2,4,1,1,3,2,964,0,3,1,0,6,0,1,15,0,17,4,-4,30000,0,14,4,0,-4,0,-4,757,505,-4,16,-4,52000,4,57000,0,2,1,31,-4,8770,10,2320,26,3,75000,-4,-4,65000,-4,3,1,14,1,5
445,10,1,0,0,-4,0,1,7,10,0,2,2,2,1,2,3,3,75,0,3,2,0,3,1,0,-4,0,18,3,-4,4000,-3,9,7,2,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,11,1,0,0,-4,0,1,7,18,0,1,2,3,2,3,2,2,-4,1,3,1,0,3,0,-5,-5,-5,20,1,17,74283,0,16,10,0,-4,0,-4,698,19,-4,-4,-4,55000,1,55000,0,1,0,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,12,1,0,0,-4,0,1,7,17,0,2,2,2,2,2,3,3,1,0,3,2,0,3,0,0,-4,0,16,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,78,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,13,1,0,1,4,0,1,7,17,0,2,2,2,1,3,2,2,245,0,3,1,0,5,0,1,20,0,17,4,-4,40000,0,16,3,1,0,0,-4,728,19,-4,-4,-4,60000,2,-2,-3,3,2,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,14,1,0,0,-4,0,1,7,17,-4,1,2,3,1,2,4,2,271,1,3,2,0,5,-3,1,16,0,15,4,-4,24000,0,16,15,0,-4,6,20,849,23,-4,-4,0,48000,1,60000,0,3,2,-998,-4,6990,800,7200,-4,2,102000,-4,-4,-4,-4,1,1,19,1,24
445,15,1,0,0,-4,-3,1,7,18,-4,2,2,3,2,2,3,2,65,1,3,1,0,4,0,0,-4,0,18,0,-4,0,0,16,7,0,-4,0,-4,-4,-4,-4,50,-4,0,4,75000,0,2,1,45,-4,-4,-4,3060,52,2,0,-4,-4,272295,-4,6,1,16,1,9
445,16,1,0,0,-4,0,1,7,13,0,2,2,3,2,3,3,2,280,0,3,2,0,4,0,1,21,0,16,4,-4,36000,0,13,9,1,0,6,21,849,313,91,40,3,38000,5,81200,0,2,1,19,-4,7270,5700,9840,-4,1,70000,-4,-4,-4,-4,4,1,13,1,12
445,17,1,0,0,-4,0,1,9,14,0,2,2,2,2,3,3,1,-4,1,3,1,0,2,0,1,-3,1,17,4,13,32000,-3,13,9,0,-4,6,17,69,13,375,60,-4,48000,2,-2,-3,1,0,-998,-4,9570,6660,5110,-2,-4,60000,-4,-4,-4,-4,1,1,13,1,14
445,18,1,0,0,-4,0,1,9,18,0,2,2,3,2,1,4,2,222,1,3,1,0,1,0,1,16,0,14,5,-4,74283,0,13,4,3,0,4,15,697,19,-4,40,-4,120000,4,120100,0,3,3,29,-4,4170,4760,-4,-4,3,150000,-4,-4,-4,-4,1,4,13,1,4
445,19,1,0,0,-4,0,1,7,12,0,2,2,2,2,4,3,1,-4,0,3,2,1,2,0,0,-4,0,-5,4,13,0,1,12,10,1,2,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,106,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,20,1,0,0,-4,0,1,7,16,0,2,2,2,2,3,2,3,245,0,3,2,0,5,0,0,-4,0,18,1,-4,34000,0,16,10,1,0,0,-4,77,217,-4,40,1,52000,3,96400,0,2,1,24,-4,7290,300,1360,52,2,115000,-4,-4,75000,-4,3,1,17,1,12
445,21,1,0,0,-4,0,1,7,18,0,2,2,2,3,2,3,3,-4,1,3,2,0,5,0,1,18,0,16,4,-4,30000,0,16,17,0,-4,3,24,727,13,-4,40,0,82000,3,-2,-3,2,1,-998,-4,7390,1810,2840,52,1,343830,-4,-4,110000,-4,2,1,16,1,27
445,22,1,0,1,4,0,1,1,16,-4,1,2,3,3,3,3,2,-4,1,3,2,0,4,0,0,-4,0,16,4,13,15500,0,16,19,0,-4,4,16,897,19,-4,35,0,36000,2,58800,0,2,1,-998,-4,9170,1060,220,34,1,40000,-4,-4,-4,-4,1,1,16,0,29
445,23,1,1,0,-4,0,1,7,16,0,1,2,2,2,2,4,1,-4,1,3,1,0,5,0,0,-4,0,18,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,24,1,0,0,-4,0,1,7,12,0,2,2,3,3,2,3,2,-4,0,3,1,0,5,0,0,-4,0,18,-5,-5,30000,0,12,11,2,0,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,25,1,1,0,-4,0,1,0,14,0,1,2,4,2,2,3,2,426,0,3,2,0,3,-3,0,-4,0,18,4,-4,25000,0,14,3,0,-4,0,-4,829,445,-4,60,2,20000,4,332808,0,2,1,42,-4,7980,3640,910,52,2,35000,-4,-4,150000,-4,4,1,14,0,3
445,26,1,0,0,-4,0,1,3,16,-4,2,1,3,1,2,3,2,-3,1,3,1,0,4,0,0,-4,0,18,1,-4,0,0,16,7,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,89,-4,6070,9030,-4,-4,1,105000,-4,-4,0,-4,5,1,16,1,8
445,27,1,0,0,-4,0,1,1,17,0,1,2,4,2,4,4,2,93,1,3,2,0,4,0,0,-4,0,20,1,-4,0,0,16,8,1,2,0,-4,739,337,-4,60,2,13126,4,146126,0,2,1,44,-4,7390,5120,1020,52,2,16036,-4,-4,191363,-4,3,1,16,1,15
445,28,1,0,0,-4,0,1,9,16,-4,1,1,2,1,1,3,1,194,1,3,2,0,4,0,0,-4,0,16,3,-4,26000,0,12,10,0,-4,5,16,448,327,-4,-4,0,24000,1,24000,0,3,3,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,29,2,-4,1,4,0,1,9,14,0,3,3,2,3,3,3,3,301,0,3,2,0,4,0,0,-4,0,18,0,-4,30000,0,12,4,0,-4,0,-4,707,7,-4,77,0,50000,1,74000,0,3,1,-998,-4,8680,4150,4000,52,2,5200,-4,-4,37440,-4,2,1,12,1,6
445,30,2,-4,1,4,0,1,9,16,0,1,3,2,3,2,3,2,245,-2,3,2,0,4,0,0,-4,0,-5,-3,-3,0,0,12,4,2,3,0,-4,-4,-4,-4,50,3,0,5,35000,0,2,1,16,-4,-4,-4,6440,-4,2,0,-4,-4,0,-4,5,-4,12,-4,4
445,31,1,-4,1,1,0,1,7,12,-4,3,4,3,3,4,3,4,142,0,1,1,0,4,1,0,-4,0,18,0,-4,15000,0,12,10,1,1,0,-4,447,523,-4,-4,-4,26000,3,26000,0,3,2,57,-4,6670,5240,4760,52,-4,42000,-4,-4,32000,-4,3,4,12,1,12
445,32,2,-4,1,1,0,1,7,16,0,1,1,3,2,1,3,1,184,0,1,2,0,5,0,-5,-5,-5,18,2,19,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,33,1,-4,1,1,0,1,7,12,-4,1,2,2,2,2,4,4,472,-2,1,1,0,4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-4,9990,7750,-4,-4,2,0,-4,-4,-4,-4,1,1,12,1,3
445,34,1,0,0,-4,0,1,9,13,0,2,2,3,2,2,2,3,245,0,3,1,0,4,0,0,-4,0,16,3,-4,5000,0,13,15,1,1,0,-4,897,19,-4,25,-4,35000,6,83000,0,2,1,15,-4,8770,7200,5700,-4,5,53000,-4,-4,-4,-4,1,1,13,2,23
445,35,1,0,0,-4,0,2,9,12,-4,2,2,3,2,2,3,2,-4,0,3,2,0,4,0,0,-4,0,17,1,16,23000,0,13,2,1,0,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,47,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,36,1,0,0,-4,0,2,7,12,-4,2,2,3,3,2,2,-2,-4,1,3,1,0,5,0,1,16,1,10,5,8,-2,-3,12,14,0,-4,5,14,69,19,-4,40,-4,0,2,38592,0,2,1,-998,-4,770,6260,4700,52,1,38500,-4,-4,28000,-4,2,1,12,1,17
445,37,1,0,0,-4,0,1,7,12,0,1,2,3,2,3,3,2,372,0,3,2,0,4,0,0,-4,0,18,1,-4,21000,0,12,3,2,0,0,-4,857,313,-4,40,1,13000,3,98200,0,2,1,97,-4,7860,5700,520,52,-4,44000,-4,-4,80000,-4,3,1,12,1,4
445,38,1,0,0,-4,0,1,7,12,-4,2,2,3,1,3,3,3,372,0,3,2,0,4,0,0,-4,0,17,2,-4,22800,0,12,7,0,-4,2,21,927,305,-4,47,0,44000,2,67000,0,2,1,-998,-4,9470,620,6230,45,3,93000,-4,-4,35000,-4,2,1,12,1,9
445,39,1,0,0,-4,0,1,3,12,0,1,1,4,2,1,4,2,912,0,3,1,0,4,0,-5,-5,-5,17,5,16,45000,0,12,13,0,-4,0,-4,669,19,-4,40,-4,57000,3,69000,0,2,1,54,-4,5090,20,5400,52,2,62000,-4,-4,32000,-4,3,3,12,1,16
445,40,1,0,0,-4,0,1,7,16,0,2,2,3,2,2,3,2,1,0,3,1,0,3,0,0,-4,0,18,0,-4,750,0,13,8,0,-4,2,18,917,27,56,50,-4,0,2,86600,0,2,1,270,-4,7580,8600,430,52,-4,45000,-4,-4,80000,-4,4,1,14,0,16
445,41,1,0,0,-4,0,1,7,16,-4,3,4,2,2,3,3,2,144,1,3,1,0,3,0,0,-4,0,14,1,-4,35000,0,15,12,0,-4,-5,-5,647,243,391,30,-4,115000,2,143000,0,2,1,18,-4,4690,4700,4020,40,1,130000,-4,-4,6500,-4,4,1,15,1,12
445,42,2,-4,1,4,0,1,7,16,-4,2,2,3,2,2,3,2,180,1,3,1,0,4,0,0,-4,0,16,1,16,30000,0,12,7,0,-4,2,24,669,549,-4,40,-4,50000,5,85000,0,2,1,9,-4,4470,7210,5700,52,6,45000,-4,-4,55000,-4,6,1,12,1,9
445,43,1,0,0,-4,0,1,0,12,0,1,2,4,4,2,4,2,-4,0,3,2,0,5,-3,0,-4,0,16,1,16,960,1,12,14,2,1,0,-4,669,439,-4,-4,4,6000,5,17448,1,2,1,173,-4,-4,-4,-4,-4,1,0,-4,-4,-4,-4,4,1,12,1,19
445,44,1,0,0,-4,0,1,3,12,0,2,2,3,2,2,3,3,364,0,3,2,0,4,0,0,-4,0,18,0,-4,0,0,12,5,2,5,0,-4,-4,-4,-4,50,2,0,4,115000,0,2,1,10,-4,7290,5860,140,52,-4,-2,-2,-2,-1,-4,2,1,12,2,8
445,45,1,0,0,-4,0,1,7,14,0,2,2,3,3,2,3,2,25,0,3,1,0,3,0,0,-4,0,17,4,15,40000,0,12,7,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,90,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,46,2,-4,1,2,0,1,7,16,-4,2,3,3,2,2,3,2,85,1,3,2,0,3,0,0,-4,0,17,1,-2,32000,-3,17,5,0,-4,0,-4,839,95,-4,40,2,30000,4,-2,-3,2,1,56,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,47,1,0,0,-4,0,1,0,12,0,2,2,3,1,2,2,2,245,0,3,1,0,3,0,1,18,1,18,2,-4,40000,0,12,7,0,-4,4,20,227,508,-4,-4,-4,65000,1,65000,0,1,0,-998,-4,2880,7140,430,52,3,75000,-4,-4,90000,-4,2,1,12,0,11
445,48,1,0,0,-4,0,1,7,16,1,3,3,3,2,3,1,3,2,1,3,1,0,2,0,0,-4,0,17,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,17,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,49,1,0,0,-4,0,1,7,16,0,1,1,3,2,1,4,2,1,1,3,2,1,2,0,0,-4,0,18,5,18,19200,0,14,6,2,3,0,-4,849,19,-4,40,2,33361,4,88924,0,2,1,54,-4,7070,5120,710,52,2,73000,-4,-4,60000,-4,3,1,14,1,13
445,50,1,0,0,-4,0,2,7,9,0,2,2,2,2,2,3,2,-4,0,3,2,0,4,0,0,-4,0,12,3,12,2600,0,12,5,2,2,1,21,417,777,-4,40,5,27000,5,65520,0,2,1,30,-4,6970,5700,6230,52,10,55000,-4,-4,60000,-4,4,1,12,1,8
445,51,1,0,0,-4,0,1,7,8,-4,2,2,3,3,3,3,2,461,0,3,1,0,4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-997,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,52,1,0,1,2,0,2,7,14,0,4,4,3,3,4,3,3,801,1,3,1,0,1,0,1,16,0,15,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,27,1954,570,10,-4,-4,3,343830,-4,-4,-4,-4,1,3,14,1,4
445,53,1,0,0,-4,0,2,7,7,-4,2,2,2,3,3,4,2,706,0,1,1,0,7,0,0,-4,0,18,0,-4,3800,0,12,19,0,-4,4,19,619,277,-4,-4,-4,1200,1,6456,1,1,0,-998,-4,8370,1100,-4,-4,2,0,-4,-4,-4,-4,1,4,12,1,24
445,54,1,0,1,4,0,1,7,10,0,2,2,3,2,2,3,3,715,0,3,1,0,2,0,1,21,0,17,0,-4,30000,0,10,5,2,10,0,-4,759,585,-4,-4,-4,40000,3,40000,0,2,1,8,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,55,1,0,0,-4,0,2,7,12,0,2,3,3,2,2,3,2,410,0,3,1,0,4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,56,1,0,0,-4,0,2,7,16,-4,1,1,4,3,1,3,2,185,1,3,2,0,4,0,0,-4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,57,1,0,0,-4,0,2,7,14,0,1,2,3,2,2,4,1,76,1,3,2,1,2,0,0,-4,0,16,1,-4,26000,0,12,19,1,11,0,-4,447,187,-4,40,3,2500,4,42520,0,2,1,26,-4,8680,4010,1530,-4,1,30000,-4,-4,-4,-4,3,1,12,1,25
445,58,1,0,0,-4,0,1,3,17,0,1,2,2,2,1,4,2,194,1,3,2,0,5,0,0,-4,0,0,0,-4,23000,0,17,5,3,1,0,-4,859,243,-4,40,3,43000,5,120000,0,2,1,23,-4,6770,230,1000,52,1,112,-4,-4,56000,-4,3,1,17,1,8
445,59,1,0,0,-4,0,1,3,12,0,2,3,-2,2,2,3,-2,153,0,3,1,0,5,0,1,20,0,18,1,18,28000,-3,12,8,0,-4,0,-4,339,734,-4,-2,-4,31000,2,-2,-3,2,1,-998,-4,1990,8260,9990,-2,-4,45000,-4,-4,-2,-2,2,1,12,1,8
445,60,1,0,0,-4,0,2,3,18,0,2,2,3,2,2,2,2,163,1,3,1,0,5,0,1,18,0,18,4,16,74283,0,12,9,0,-4,0,-4,398,549,265,40,-4,50000,5,104000,0,2,1,36,-4,-4,-4,-4,52,3,104000,-4,-4,87000,-4,3,1,12,1,10
445,61,1,0,0,-4,0,1,7,18,-4,2,2,2,2,1,3,2,194,1,3,2,0,4,0,0,-4,0,18,1,-4,21600,0,14,14,0,-4,4,22,717,229,-4,45,2,40000,4,116000,0,2,1,98,-4,6990,1010,9840,52,1,0,-4,-4,1500,-4,4,1,14,1,14
445,62,1,0,0,-4,0,2,7,14,-4,1,2,3,1,2,4,2,180,1,3,2,0,4,0,0,-4,0,14,2,-4,20000,0,12,14,0,-4,0,-4,849,234,-4,40,2,34000,4,34060,0,3,1,71,-4,3580,5700,7920,-4,4,51000,-4,-4,-4,-4,4,1,14,1,16
445,63,1,0,0,-4,0,1,7,16,0,2,2,3,2,2,3,2,3,0,3,1,0,3,0,1,17,1,16,4,-4,-5,-5,-5,-5,-5,-5,0,-4,609,19,-4,40,-4,115000,3,332808,0,2,1,11,-4,5380,430,620,52,2,165000,-4,-4,155000,-4,4,1,16,1,9
445,64,1,0,0,-4,0,1,7,16,0,2,2,3,2,2,3,2,80,1,3,1,0,6,0,1,15,0,16,5,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,65,1,0,0,-4,-3,1,7,16,-4,1,2,2,2,2,4,2,31,1,3,2,0,6,0,0,-4,0,18,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,66,1,0,0,-4,0,1,7,16,-4,4,3,2,1,3,2,1,31,1,3,1,0,4,-3,1,15,0,17,1,-4,-1,-3,14,14,0,-4,3,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,59,-4,770,6320,-4,-4,-4,0,-4,-4,-4,-4,2,1,14,1,17
445,67,1,0,0,-4,0,1,9,17,0,3,2,2,2,2,1,2,245,1,3,1,0,4,0,1,16,0,18,2,-4,74283,0,18,8,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,8,-4,6970,840,-4,-4,2,343830,-4,-4,0,-4,4,1,18,1,12
445,68,1,0,0,-4,0,1,9,16,-4,1,2,2,2,3,4,2,-4,1,3,2,0,4,0,0,-4,0,18,1,-4,50000,0,16,11,0,-4,0,-4,-4,-4,-4,60,3,0,5,332808,0,2,1,23,-4,-4,-4,10,52,2,0,-4,-4,272295,-4,5,1,16,1,14
445,69,1,0,0,-4,0,1,7,16,-4,1,2,2,2,2,3,2,193,1,3,1,0,4,0,0,-4,0,17,0,-4,-5,-5,-5,-5,-5,-5,0,-4,717,7,-4,32,-4,70000,1,70000,0,3,3,28,-4,7670,10,1300,36,2,145000,-4,-4,60000,-4,2,1,18,1,6
445,70,1,0,0,-4,0,1,7,16,0,1,2,4,1,2,3,-2,14,0,3,1,0,4,-3,0,-4,0,18,0,-4,31000,0,18,19,0,-4,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,71,-4,8560,9620,2310,-4,2,40000,-4,-4,-4,-4,1,1,18,1,23
445,71,1,0,0,-4,0,1,7,17,-4,2,2,2,2,2,3,2,31,1,3,1,0,3,-3,0,-4,0,17,1,-4,-2,-3,19,14,0,-4,-1,-4,709,178,-4,-2,-4,-1,4,-1,-3,2,1,109,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,72,1,0,0,-4,0,1,3,16,0,3,2,2,1,3,4,2,305,0,3,2,0,3,-3,1,20,0,17,4,-4,28500,0,16,11,0,-4,4,19,698,379,-4,-4,0,36000,1,36000,0,1,0,-998,-4,7870,800,-4,-4,2,42000,-4,-4,-4,-4,1,1,16,1,22
445,73,1,0,0,-4,0,1,3,16,-4,2,2,2,2,2,3,2,23,1,3,1,0,4,0,1,13,0,16,2,-4,-5,-5,-5,-5,-5,-5,-5,-5,739,256,-4,-4,-4,216200,1,140000,0,1,0,24,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,74,1,0,0,-4,0,1,9,-2,0,1,4,1,1,2,3,1,-4,0,3,2,0,1,-3,1,14,1,14,4,-4,-1,-3,15,21,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,75,1,0,0,-4,0,1,9,16,0,2,2,2,2,2,4,2,245,1,3,2,0,5,-3,0,-4,0,16,1,-4,26000,0,16,16,0,-4,0,-4,858,277,-4,40,2,30000,4,80500,0,2,1,28,-4,9170,4960,230,52,1,115000,-4,-4,70000,-4,4,1,16,1,19
445,76,1,0,0,-4,0,1,9,16,-4,2,1,2,2,2,3,2,31,1,3,1,0,5,-3,1,14,0,16,1,12,46000,0,14,10,0,-4,0,-4,689,185,-4,35,-4,30000,4,70000,0,2,1,-999,-4,7770,4210,3220,52,-4,70000,-4,-4,80000,-4,5,1,14,1,12
445,77,1,0,0,-4,0,1,1,16,-4,2,2,3,2,2,3,2,-4,1,3,2,0,4,-3,0,-4,0,18,1,-4,29000,-3,16,7,0,-4,1,20,717,19,-4,-4,0,56000,1,96000,0,1,0,-998,-4,6990,4810,-4,-4,2,90000,-4,-4,-4,-4,1,1,16,1,10
445,78,1,0,0,-4,0,1,7,16,0,2,3,2,2,2,3,2,75,0,3,2,0,5,0,0,-4,0,0,0,-4,1400,0,16,6,1,1,0,-4,-4,-4,-4,55,4,0,6,80150,0,2,1,9,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,79,1,0,0,-4,0,1,7,18,0,2,2,1,2,2,3,2,245,1,3,1,0,5,0,0,-4,0,18,2,-4,74283,0,18,9,1,0,0,-4,709,19,-4,-4,-4,216200,5,332808,0,2,1,21,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,80,1,0,0,-4,0,1,7,16,-4,1,1,3,2,1,3,2,25,1,3,1,0,4,-3,0,-4,0,16,-5,-5,7000,1,17,10,0,-4,0,-4,857,157,-4,-4,-4,15500,1,-2,-3,1,0,-998,1957,7860,2310,2800,-2,2,23000,-4,-4,-4,-4,1,4,19,1,19
445,81,1,0,0,-4,0,1,7,16,-4,1,2,3,2,2,3,2,245,1,3,1,0,4,-3,0,-4,0,14,-5,-5,3000,0,14,15,0,-4,0,-4,807,195,-4,-4,-4,11000,2,-2,-3,1,0,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,82,2,-4,0,-4,0,1,-2,11,0,1,2,2,2,2,3,2,461,0,2,1,0,8,-3,1,16,0,-5,-5,-5,0,1,12,6,0,-4,0,-4,-4,-4,-4,-4,-4,0,1,0,1,1,0,-997,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,83,1,0,0,-4,0,1,2,12,0,3,3,2,1,3,3,3,415,0,2,1,0,7,0,0,-4,1,16,0,-4,0,1,10,10,0,-4,6,30,-4,-4,-4,-4,-4,0,5,-2,-3,1,0,-998,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,4,1,10,1,12
445,84,1,0,0,-4,0,1,2,12,-4,2,2,4,2,2,4,3,395,0,2,1,0,7,0,0,-4,0,17,0,-4,0,1,12,6,0,-4,0,-4,268,686,372,40,-4,0,1,0,1,3,1,210,-4,-4,-4,5700,-4,-4,0,-4,-4,-4,-4,4,1,12,1,9
445,85,1,1,0,-4,0,1,0,10,0,4,2,2,2,4,3,3,473,0,2,1,0,7,0,1,18,1,-4,1,-4,1050,1,7,9,0,-4,5,25,247,786,-4,-4,-4,-2,3,-2,-3,1,0,-997,-4,1890,9600,-4,-4,-4,0,-4,-4,-4,-4,1,1,11,1,11
