"A0002500","R0000100","R0000700","R0001010","R0001100","R0001200","R0001610","R0001800","R0010300","R0023500","R0029100","R0153800","R0153900","R0154000","R0154100","R0154300","R0154400","R0154500","R0170100","R0171800","R0214700","R0214800","R0217501","R0217502","R0217910","R0306700","R0307000","R0307100","R1021700","R1395100","R1395400","R3279401","R3400800","R3401501","R3403500","R3407700","R3407800","R6430800","R6430900","R6591300","R6592900","R6738700","R6749800","R6839600","R6909701","R7006400","R7006500","R7006600","R7006900","R7007000","R9909700","T3206901","T3308200","T3308700","T3495400","T3506500","T3976400","T3977400","T3977500","T3977600","T3987600","T3987800","T4112200","T4112700","T4113000","T4114600","T4114900"
445,4484,1,-3,1,4,-3,3,7,12,-4,3,2,3,3,1,3,-2,193,-2,3,1,0,4,0,-5,-5,-5,13,5,15,-5,-5,-5,-5,-5,-5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,214,-4,770,7310,-4,-4,8,0,-4,-4,0,-4,4,-4,12,-4,15
445,4485,1,0,0,-4,0,1,2,11,0,1,2,2,2,2,4,2,-4,0,3,2,1,2,0,-5,-5,-5,0,0,-4,-3,-3,11,4,2,-3,0,-4,447,796,-4,40,2,-2,3,-2,-3,2,1,36,-4,8660,4230,4760,52,-4,15000,-4,-4,20000,-4,2,3,11,1,11
445,4486,1,0,0,-4,0,1,2,16,-4,2,1,4,2,1,3,2,245,1,2,1,0,4,0,1,14,0,-4,1,18,17000,0,16,8,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4487,1,1,0,-4,0,1,7,12,-4,1,1,2,2,1,4,2,925,0,3,2,0,5,0,0,-4,0,0,4,-4,0,0,12,9,2,3,3,18,328,365,-4,52,2,44000,4,96000,0,2,1,4,-4,3960,5610,8960,49,2,0,-4,-4,45000,-4,4,4,12,1,15
445,4488,1,0,0,-4,0,1,7,17,-4,1,2,3,2,1,4,2,31,1,3,2,0,5,0,0,-4,0,0,0,-4,23000,0,13,3,0,-4,0,-4,189,19,-4,-4,0,57000,1,57100,0,1,0,5,-4,3360,430,3710,52,1,103,-4,-4,173000,-4,5,4,13,1,5
445,4489,1,0,0,-4,0,1,2,12,1,4,4,4,4,4,3,4,245,0,3,1,1,2,-3,1,19,1,17,5,-4,23000,-3,12,8,3,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,-4,2870,9130,-4,-4,-4,47000,-4,-4,0,-4,5,2,12,0,13
445,4490,1,1,0,-4,0,1,5,10,0,1,2,1,2,1,4,2,65,0,3,2,1,2,0,0,-4,0,18,4,-4,650,-3,10,1,3,5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,16,-4,-4,-4,9130,52,-4,0,-4,-4,53000,-4,5,2,10,0,1
445,4491,1,0,1,4,0,2,1,18,0,1,2,3,3,2,2,2,140,1,3,1,0,4,1,-5,-5,-5,16,1,18,-5,-5,-5,-5,-5,-5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-4,-4,-4,-4,-4,-4,70000,-4,-4,-4,-4,1,4,14,2,10
445,4492,1,0,1,4,0,1,1,11,-4,3,3,3,2,3,2,3,163,-2,3,1,0,4,1,-5,-5,-5,-5,0,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4493,1,0,1,1,0,1,7,16,0,1,2,4,1,3,4,1,-4,0,3,2,0,4,-3,0,-4,0,0,0,-4,34000,0,13,18,0,-4,0,-4,718,187,245,40,0,58000,5,332808,0,2,1,-998,-4,7580,2840,3050,-4,-4,88500,-4,-4,-4,-4,1,4,16,1,24
445,4494,1,0,1,1,0,1,7,16,0,1,2,4,2,1,4,1,3,0,3,2,0,4,0,1,20,0,20,1,20,0,0,15,6,1,5,0,-4,-4,-4,-4,60,2,0,4,-1,-3,2,1,-999,-4,5170,4760,2100,-4,-4,0,-4,-4,-4,-4,2,4,15,1,7
445,4495,1,0,1,1,0,1,7,12,0,4,2,2,3,2,1,2,-4,0,3,2,0,4,0,0,-4,0,16,0,-4,30000,0,12,6,0,-4,4,32,-4,-4,-4,-4,2,0,5,24224,0,3,3,152,-4,-4,-4,-4,-4,2,0,-4,-4,-4,-4,3,4,12,1,6
445,4496,1,0,0,-4,0,1,7,14,0,2,2,1,2,2,1,1,-4,0,3,2,1,2,0,0,-4,0,19,4,-4,18000,0,12,10,2,11,6,18,858,19,-4,-4,2,41000,3,41000,0,3,3,20,-4,7860,2010,2340,7,-4,1200,-4,-4,2700,-4,2,4,12,1,14
445,4497,1,0,0,-4,0,1,2,12,0,3,3,3,2,3,2,3,-4,0,3,1,0,5,0,0,-4,1,18,5,14,7000,1,13,11,1,0,5,24,69,869,-4,16,-4,42000,5,-2,-3,2,1,124,-4,770,6260,2000,-4,-4,22000,-4,-4,-4,-4,2,4,13,1,27
445,4498,1,0,0,-4,0,1,2,14,-4,2,2,3,2,2,3,2,471,1,3,1,0,5,0,0,-4,0,17,0,-4,34000,0,12,4,0,-4,1,21,69,869,-4,-4,-4,18000,2,26044,0,1,0,-997,-4,770,6230,-4,-4,-4,40000,-4,-4,-4,-4,1,4,12,1,11
445,4499,1,0,0,-4,0,1,2,14,-4,1,2,-3,3,2,4,1,100,1,3,2,0,5,0,0,-4,0,18,1,15,26000,0,14,11,1,0,1,20,449,19,-4,40,4,49000,4,49000,0,3,3,90,-4,9370,1040,-4,-4,2,0,-4,-4,-4,-4,2,3,14,1,18
445,4500,1,0,0,-4,1,1,7,16,-4,2,2,3,2,3,3,2,590,1,3,1,0,5,-3,0,-4,0,16,1,18,15000,0,14,5,0,-4,0,-4,637,243,-4,-4,-4,19700,2,19900,0,1,0,22,-4,5380,5610,-4,-4,2,32000,-4,-4,0,-4,4,-4,14,-4,6
445,4501,1,0,0,-4,0,1,7,12,-4,3,3,4,2,3,3,4,180,0,3,1,0,5,-3,1,13,1,14,5,13,16000,0,8,7,1,3,1,18,69,585,-4,24,-4,35000,5,35000,0,3,1,85,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4502,1,0,0,-4,0,1,2,12,0,1,2,2,2,1,3,2,163,1,3,1,0,6,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,669,19,-4,-4,-4,28000,1,28300,0,1,0,-998,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4503,1,0,0,-4,0,1,2,12,0,2,2,3,2,2,3,2,751,0,3,1,0,6,1,1,12,1,13,5,-3,-5,-5,-5,-5,-5,-5,4,21,669,434,-4,-4,-4,20000,1,20000,0,1,0,-998,-4,8680,4040,-4,-4,-4,35000,-4,-4,-4,-4,1,4,11,1,17
445,4504,1,0,0,-4,0,1,2,11,-4,2,3,3,2,2,3,2,415,0,3,1,0,6,1,1,10,1,0,3,15,-5,-5,-5,-5,-5,-5,-5,-5,19,485,-4,-4,-4,-2,1,-2,-3,3,2,16,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4505,1,0,0,-4,0,1,2,12,-4,2,2,3,2,2,3,2,75,1,3,2,0,6,1,1,14,0,0,0,-4,0,1,9,5,4,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,194,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
445,4506,1,0,0,-4,0,1,7,14,-4,4,2,2,2,3,4,2,194,0,3,2,0,2,1,1,17,0,18,1,-4,6000,0,14,9,2,4,0,-4,828,207,680,50,2,36000,4,96000,0,2,1,29,-4,9470,3130,6440,52,2,35000,-4,-4,40000,-4,2,3,14,0,15
